word,yomi,syllables,season
林檎の花,りんごのはな,6,spring
連翹,れんぎょう,4,spring
蓮如忌,れんにょき,4,spring
若鮎,わかあゆ,4,spring
若草,わかくさ,4,spring
公魚,わかさぎ,4,spring
若芝,わかしば,4,spring
若緑,わかみどり,5,spring
若布,わかめ,3,spring
嫩芽,わかめ,3,spring
別れ霜,わかれじも,5,spring
山葵,わさび,3,spring
勿忘草,わすれなぐさ,6,spring
渡り漁夫,わたりぎょふ,5,spring
蕨,わらび,3,spring
蕨餅,わらびもち,5,spring
アイスコーヒー,あいすこーひー,7,summer
愛鳥週間,あいちょうしゅうかん,8,summer
青蘆,あおあし,4,summer
青嵐,あおあらし,5,summer
葵,あおい,3,summer
葵祭,あおいまつり,6,summer
青梅,あおうめ,4,summer
青柿,あおがき,4,summer
梧桐,あおぎり,4,summer
青胡桃,あおくるみ,5,summer
青鷺,あおさぎ,4,summer
青山河,あおさんが,5,summer
青山椒,あおさんしょう,6,summer
青芝,あおしば,4,summer
青芒,あおすすき,5,summer
青簾,あおすだれ,5,summer
青田,あおた,3,summer
青竹,あおたけ,4,summer
青畳,あおだたみ,5,summer
青蔦,あおつた,4,summer
青唐辛子,あおとうがらし,7,summer
青野,あおの,3,summer
青葉,あおば,3,summer
青葉木菟,あおばずく,5,summer
青葡萄,あおぶどう,5,summer
青鬼灯,あおほほづき,6,summer
青みどろ,あおみどろ,5,summer
青桃,あおもも,4,summer
青林檎,あおりんご,5,summer
赤鱏,あかえい,4,summer
藜,あかざ,3,summer
アカシアの花,あかしあのはな,7,summer
秋近し,あきちかし,5,summer
麻,あさ,2,summer
朝顔,あさがお,4,summer
朝顔市,あさがおいち,6,summer
朝曇,あさぐもり,5,summer
朝凪,あさなぎ,4,summer
朝焼,あさやけ,4,summer
鯵,あじ,2,summer
紫陽花,あじさい,4,summer
鯵刺,あじさし,4,summer
東踊,あずまおどり,6,summer
汗,あせ,2,summer
汗拭ひ,あせぬぐい,5,summer
汗疹,あせも,3,summer
暑し,あつし,3,summer
穴子,あなご,3,summer
油照,あぶらでり,5,summer
雨蛙,あまがえる,5,summer
雨乞,あまごい,4,summer
甘酒,あまざけ,4,summer
アマリリス,あまりりす,5,summer
網戸,あみど,3,summer
飴湯,あめゆ,3,summer
水馬,あめんぼう,5,summer
あやめ,あやめ,3,summer
鮎,あゆ,2,summer
鮎釣,あゆつり,4,summer
洗膾,あらひ,3,summer
荒布,あらめ,3,summer
蟻,あり,2,summer
蟻地獄,ありじごく,5,summer
袷,あわせ,3,summer
鮑,あわび,3,summer
安居,あんご,3,summer
杏,あんず,3,summer
誘蛾燈,いうがとう,5,summer
烏賊釣,いかつり,4,summer
藺刈,いかり,3,summer
泉,いずみ,3,summer
虎杖の花,いたどりのはな,7,summer
苺,いちご,3,summer
鳶尾草,いちはつ,4,summer
厳島管絃祭,いつくしまかんげんさい,11,summer
糸取,いととり,4,summer
糸蜻蛉,いととんぼ,5,summer
糸みみず,いとみみず,5,summer
藺の花,いのはな,4,summer
ゐもり,いもり,3,summer
岩魚,いわな,3,summer
鵜,う,1,summer
茴香の花,ういきょうのはな,7,summer
植田,うえだ,3,summer
鵜飼,うかい,3,summer
萍,うきくさ,4,summer
浮巣,うきす,3,summer
浮人形,うきにんぎょう,6,summer
薄翅蜉蝣,うすばかげろう,7,summer
羅,うすもの,4,summer
打水,うちみず,4,summer
団扇,うちわ,3,summer
空蟬,うつせみ,4,summer
靭草,うつぼぐさ,5,summer
卯月,うづき,3,summer
独活の花,うどのはな,5,summer
優曇華,うどんげ,4,summer
鰻,うなぎ,3,summer
卯波,うなみ,3,summer
卯の花,うのはな,4,summer
卯の花腐し,うのはなくたし,7,summer
海亀,うみがめ,4,summer
海猫,うみねこ,4,summer
海の日,うみのひ,4,summer
海開き,うみびらき,5,summer
海酸漿,うみほおずき,6,summer
梅酒,うめしゅ,3,summer
梅干,うめぼし,4,summer
瓜,うり,2,summer
瓜の花,うりのはな,5,summer
瓜番,うりばん,4,summer
瓜揉み,うりもみ,4,summer
漆掻,うるしかき,5,summer
雲海,うんかい,4,summer
えごの花,えごのはな,5,summer
えぞにうの花,えぞにうの花,6,summer
